item_number,Comment,Quantity,Designator,Description,Manufacturer,Manufacturer Part Number

"E-CAP-00090-00","100nF","7","C1, C3, C10, C11, C13, C15, C17","Capacitor 100nF X5R 50V 10% 0402","Murata","GRM155R61H104KE19D"
"E-CAP-00110-00","18pF","2","C2, C4","Capacitor, 18pF, 50V, 1%, C0G","Murata","GJM1555C1H180FB01D"
"E-CAP-00020-00","1uF","5","C5, C12, C14, C16, C20","Capacitor 1uF X5R 6.3V 20% 0402","SEM","CL05A105KQ5NNNC"
"E-CAP-00100-00","10uF","2","C6, C7","Capacitor 10uF X5R 16V 20% 0603","Murata","GRM188R61C106MA73D"
"E-CAP-00107-00","20pF","1","C8","Capacitor 20pF C0G 50V 1% 0402","Murata","GJM1555C1H200FB01D"
"E-CAP-00108-00","2.2uF","1","C9","Capacitor 2.2uF X5R 25V 10% 0603","Murata","GRM188R61E225KA12D"
"E-CAP-00066-00","4.7uF","2","C18, C19","Capacitor 4.7uF X5R 10V 10% 0603","Taiyo Yuden","LMK107BJ475KA-T"
"E-DIO-00011-00","SP3118-01ETG","1","D1","Diode TVS","Littelfuse","SP3118-01ETG"
"E-DIO-00008-00","TPD1E05U06","11","D2, D3, D6, D7, D8, D9, D11, D12, D13, D14, D15","Diode TVS","Texas Instruments","TPD1E05U06DPYR"
"E-LED-00012-00","Orange","1","D4","LED Orange 0603","Vishay Lite-On","LTST-C190KAKT"
"E-DIO-00012-00","NSR05T30XV2T5G","1","D10","Diode Schottky 30V 0.5A SOD523","On Semiconductor","NSR05T30XV2T5G"
"M-CON-00086-00","HDR-1x12","1","J2","0.1" header 12 positions","Molex","22032121"
"M-CON-00087-00","HDR-1x16","1","J3","0.1" header 16 positions","Molex","22032161"
"M-CON-00016-00","HDR-2x5","1","J4",".050 Male Header 2x5","","GRPB052VWVN-RC"
"M-CON-00011-00","10103594-0001LF","1","J5","Connector MICRO USB B","Amphenol FCI","10103594-0001LF"
"E-IND-00043-00","10uH","1","L1","Inductor 10uH 1.1A 0.22ohm 20% 3x3","Abracon","ASPI-0315FS-100M"
"E-ICS-00097-00","ESP32-WROOM-32D","1","MOD1","Module WIFI BLE ESP32-D0WD 4MB","Espressif","ESP32-WROOM-32D"
"E-TRS-00003-00","2N7002","1","Q2","TR MOSFET N-CH 60V 115mA SOT23","On Semiconductor","2N7002"
"E-TRS-00002-00","MMBT3904","2","Q3, Q4","TR NPN BJT 200mA 40V","On Semiconductor","MMBT3904LT1G"
"E-RES-00008-00","100","6","R6, R17, R18, R19, R20, R22","Resistor 100R 50V 5% 0402","Panasonic","ERJ-2GEJ101X"
"E-RES-00039-00","4.7k","3","R7, R8, R31","Resistor 4.7K 50V 5% 0402","Panasonic","ERJ-2GEJ472X"
"E-RES-00012-00","100k","2","R9, R10","Resistor 100K 50V 5% 0402","Panasonic","ERJ-2GEJ104X"
"E-RES-00001-00","10k","4","R12, R13, R28, R29","Resistor 10K 50V 5% 0402","Vishay Dale","CRCW040210K0JNED"
"E-RES-00054-00","200K","2","R15, R21","Resistor 200K 50V 1% 0402","Panasonic","ERJ-2RKF2003X"
"E-RES-00093-00","680k","1","R16","Resistor 680K 50V 5% 0402","Panasonic","ERJ-2GEJ684X"
"E-RES-00006-00","0","1","R23","Resistor 0R 50V 1% 0402","Yageo","RC0402FR-070RL"
"E-RES-00002-00","1k","3","R25, R26, R27","Resistor 1K 50V 5% 0402","Panasonic","ERJ-2GEJ102X"
"E-SWI-00022","KMR231NGLFS","1","S1","SMD Tact Switch","ITT C&K","KMR231NGLFS"
"E-ICS-00099-00","IPS6404L-SQ","1","U1","Memory SPI/QPI PSRAM 8MB SOIC8 150mil","IPUS","IPS6404L-SQ-SPN"
"E-ICS-00072-00","ATECC508A","1","U2","Afero Custom CryptoAuthentication Device","Microchip / Atmel","ATECC508A-MAHKN-T"
"E-ICS-00096-00","XC9264B755MR","1","U3","Voltage Regulator 0.5A 500KHz Buck","Torex","XC9264B755MR"
"E-ICS-00098-00","CP2104","1","U4","USB to UART Bridge","SiLabs","CP2104-F03-GM"
"E-XTL-00012-00","32.768KHz","1","X1","Crystal, 32.768kHz ±20ppm","Abracon","ABS06-32.768KHZ-T"
