Altium Designer Pick and Place Locations
Z:\wrk\Afero\asr-2d_ESP32\staging\HW-Plumo-2D\gerbers\Pick Place for Plumo-2D.txt

========================================================================================================================
File Design Information:

Date:       16/12/19
Time:       18:34
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment         Layer       Footprint        Center-X(mil) Center-Y(mil) Rotation Description                                
X1         32.768kHz       BottomLayer ABS06            1326.867      250.000       180      "Crystal, 32.768kHz ±20ppm"                
C4         18pF            BottomLayer 0402C-GENERIC    1393.000      248.000       270      "Capacitor, 18pF, 50V, 1%, C0G"            
C2         18pF            BottomLayer 0402C-GENERIC    1261.000      248.000       270      "Capacitor, 18pF, 50V, 1%, C0G"            
R29        10k             TopLayer    0402R-GENERIC    605.000       205.000       360      "Resistor 10K 50V 5% 0402"                 
R28        10k             TopLayer    0402R-GENERIC    515.000       -119.311      360      "Resistor 10K 50V 5% 0402"                 
U4         CP2104          TopLayer    CP2104           445.787       9.842         0        "USB to UART Bridge"                       
U1         IPS6404L-SQ     TopLayer    IPUS.PSRAM       805.000       -5.000        0        "Memory SPI/QPI PSRAM 8MB SOIC8 150mil"    
R31        4.7k            TopLayer    0402R-GENERIC    325.000       -150.394      90       "Resistor 4.7K 50V 5% 0402"                
R26        1k              TopLayer    0402R-GENERIC    525.000       155.000       270      "Resistor 1K 50V 5% 0402"                  
R25        1k              TopLayer    0402R-GENERIC    490.000       155.000       270      "Resistor 1K 50V 5% 0402"                  
R13        10k             TopLayer    0402R-GENERIC    695.000       175.000       180      "Resistor 10K 50V 5% 0402"                 
Q4         MMBT3904        TopLayer    SOT23            602.500       110.000       90       "TR NPN BJT 200mA 40V"                     
Q3         MMBT3904        TopLayer    SOT23            602.500       -90.000       270      "TR NPN BJT 200mA 40V"                     
C20        1uF             TopLayer    0402C-GENERIC    365.000       -150.000      270      "Capacitor 1uF X5R 6.3V 20% 0402"          
C19        4.7uF           TopLayer    0603C-GENERIC    607.500       10.000        360      "Capacitor 4.7uF X5R 10V 10% 0603"         
C16        1uF             TopLayer    0402C-GENERIC    405.000       -150.000      270      "Capacitor 1uF X5R 6.3V 20% 0402"          
C13        100nF           TopLayer    0402C-GENERIC    912.000       135.000       360      "Capacitor 100nF X5R 50V 10% 0402"         
MOD1       ESP32-WROOM-32D TopLayer    ESP32-WROOM-32D  1359.953      0.000         270      "Module WIFI BLE ESP32-D0WD 4MB"           
R20        100             TopLayer    0402R-GENERIC    912.000       247.000       360      "Resistor 100R 50V 5% 0402"                
R19        100             TopLayer    0402R-GENERIC    912.000       322.000       360      "Resistor 100R 50V 5% 0402"                
R18        100             TopLayer    0402R-GENERIC    912.000       281.000       360      "Resistor 100R 50V 5% 0402"                
R17        100             TopLayer    0402R-GENERIC    912.000       212.000       360      "Resistor 100R 50V 5% 0402"                
R12        10k             TopLayer    0402R-GENERIC    695.000       215.000       180      "Resistor 10K 50V 5% 0402"                 
D14        TPD1E05U06      TopLayer    SON70P100X45-2N  804.881       295.000       180      "Diode TVS"                                
D13        TPD1E05U06      TopLayer    SON70P100X45-2N  804.881       255.000       180      "Diode TVS"                                
C14        1uF             TopLayer    0402C-GENERIC    912.000       175.000       360      "Capacitor 1uF X5R 6.3V 20% 0402"          
U3         XC9264B755MR    TopLayer    SOT95P275X130-5N 297.835       235.000       360      "Voltage Regulator 0.5A 500KHz Buck"       
S1         KMR231NGLFS     TopLayer    KMR231NGLFS      750.000       -270.000      270      "SMD Tact Switch"                          
R27        1k              TopLayer    0402R-GENERIC    150.000       -210.000      90       "Resistor 1K 50V 5% 0402"                  
R23        0               TopLayer    0402R-GENERIC    335.000       -45.000       270      "Resistor 0R 50V 1% 0402"                  
R22        100             TopLayer    0402R-GENERIC    615.000       -215.000      180      "Resistor 100R 50V 5% 0402"                
R21        200k            TopLayer    0402R-GENERIC    325.551       140.000       360      "Resistor 200K 50V 1% 0402"                
R16        680k            TopLayer    0402R-GENERIC    415.551       140.000       360      "Resistor 680K 50V 5% 0402"                
R15        200K            TopLayer    0402R-GENERIC    157.834       210.315       270      "Resistor 200K 50V 1% 0402"                
R10        100k            TopLayer    0402R-GENERIC    695.000       335.000       360      "Resistor 100K 50V 5% 0402"                
R9         100k            TopLayer    0402R-GENERIC    695.000       255.000       360      "Resistor 100K 50V 5% 0402"                
R8         4.7k            TopLayer    0402R-GENERIC    910.000       -215.000      360      "Resistor 4.7K 50V 5% 0402"                
